borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Hackney,16,15,326,70,68,26,A104,PU,E,2010,05/10/2010,51.55676751,-0.055789812000000001
Hackney,22,18,443,34,119,42,A102,PU,E,2010,15/09/2010,51.548923549999998,-0.039969937000000004
Hackney,98,83,541,44,290,165,A5201,PU,E,2010,06/10/2010,51.526182290000001,-0.085219089999999997
Hackney,27,8,175,74,58,8,A107,PU,E,2010,18/10/2010,51.55043654,-0.053607677999999999
Hackney,20,17,563,60,115,38,A10,PU,N,2010,24/06/2010,51.575025429999997,-0.072328852999999999
Hackney,33,13,274,54,71,21,A107,PU,E,2010,02/09/2010,51.543271480000001,-0.055355614000000004
Hackney,26,26,852,5,192,45,A1202,PU,N,2010,20/09/2010,51.525507349999998,-0.082436282999999999
Hackney,33,10,272,47,66,32,A104,PU,E,2010,24/03/2010,51.546264600000001,-0.073256265000000001
Hackney,18,11,197,13,51,13,A106,PU,N,2010,09/09/2010,51.547569930000002,-0.028417527999999997
Hackney,44,37,849,76,139,44,A10,PU,E,2010,18/05/2010,51.563158829999999,-0.072542200000000001
Hackney,23,36,824,37,215,69,A106,PU,E,2010,18/03/2010,51.544848850000001,-0.032385893999999998
Hackney,1,111,2155,25,435,583,A12,PU,E,2010,25/05/2010,51.547911799999994,-0.030032570000000001
Hackney,7,27,1090,24,263,74,A106,PU,N,2010,30/09/2010,51.545178870000001,-0.035443612999999999
